,Asian,Black,Hispanic,White
830,0,8,12,10
831,0,10,9,11
832,0,9,10,11
833,0,12,9,9
834,1,11,7,11
835,0,10,8,12
836,0,10,7,13
837,0,12,7,11
838,0,9,11,10
839,0,10,10,10
840,0,10,9,11
841,0,12,9,9
842,0,11,6,13
843,0,8,12,10
844,0,10,8,12
845,0,10,9,11
846,0,11,8,11
847,0,10,11,9
848,0,8,9,13
849,0,11,9,10
850,0,9,9,12
851,0,11,9,10
852,0,10,10,10
853,0,10,9,11
854,0,10,8,12
855,0,9,10,11
856,0,8,12,10
857,0,10,9,11
858,0,11,7,12
859,0,10,8,12
860,0,10,9,11
861,1,9,8,12
862,0,10,8,12
863,0,9,9,12
864,1,13,7,9
865,0,11,9,10
866,0,12,9,9
867,0,10,12,8
868,0,9,10,11
869,0,10,8,12
870,0,11,6,13
871,0,10,11,9
872,0,12,7,11
873,0,11,7,12
874,0,10,9,11
875,0,11,8,11
876,0,10,9,11
877,0,10,10,10
878,0,11,8,11
879,0,9,11,10
880,0,10,8,12
881,0,9,9,12
882,0,10,10,10
883,0,11,7,12
884,0,11,8,11
885,0,10,8,12
886,0,10,8,12
887,0,10,10,10
888,0,11,8,11
889,0,12,7,11
890,1,10,10,9
891,0,10,11,9
892,0,10,8,12
893,0,11,7,12
894,0,9,9,12
895,0,12,8,10
896,0,9,12,9
897,0,11,10,9
898,0,10,9,11
899,0,8,10,12
900,0,11,10,9
901,0,8,11,11
902,0,11,10,9
903,0,9,9,12
904,0,8,11,11
905,0,10,11,9
906,1,11,9,9
907,1,11,8,10
908,0,11,9,10
909,0,9,10,11
910,0,9,10,11
911,0,9,8,13
912,0,10,8,12
913,0,11,8,11
914,0,9,10,11
915,0,7,10,13
916,0,11,8,11
917,0,10,10,10
918,0,11,8,11
919,0,12,6,12
920,0,11,6,13
921,1,8,13,8
922,0,11,8,11
923,0,12,8,10
924,0,11,7,12
925,0,11,8,11
926,0,11,8,11
927,0,10,9,11
928,0,11,12,7
929,0,12,7,11
930,0,8,13,9
931,0,13,6,11
932,0,12,7,11
933,0,9,10,11
934,0,10,9,11
935,0,10,8,12
936,1,13,5,11
937,0,11,7,12
938,0,13,5,12
939,0,11,9,10
940,0,11,7,12
941,0,11,9,10
942,0,10,9,11
943,1,11,9,9
944,0,11,9,10
945,0,13,7,10
946,0,10,12,8
947,0,8,10,12
948,0,11,7,12
949,0,10,9,11
950,0,11,7,12
951,0,11,6,13
952,1,11,7,11
953,1,10,8,11
954,0,9,10,11
955,0,11,8,11
956,1,10,9,10
957,0,9,12,9
958,0,11,9,10
959,0,10,8,12
960,0,10,10,10
961,1,9,10,10
962,0,11,10,9
963,0,10,9,11
964,0,8,11,11
965,0,10,11,9
966,0,12,7,11
967,0,10,8,12
968,0,12,9,9
969,0,12,5,13
970,0,11,8,11
971,1,10,10,9
972,0,10,10,10
973,0,10,9,11
974,0,12,10,8
975,0,11,8,11
976,0,11,9,10
977,1,10,11,8
978,0,7,13,10
979,0,11,7,12
980,0,8,11,11
981,1,10,8,11
982,0,9,7,14
983,0,10,11,9
984,0,13,6,11
985,0,10,9,11
986,0,10,9,11
987,0,11,9,10
988,0,10,10,10
989,0,11,8,11
990,0,10,9,11
991,0,8,11,11
992,0,11,8,11
993,0,12,7,11
994,0,12,7,11
995,0,9,8,13
996,0,11,7,12
997,0,10,11,9
998,0,11,7,12
999,0,12,7,11
1000,0,10,9,11
1001,0,9,9,12
1002,0,12,8,10
1003,0,11,6,13
1004,0,10,10,10
1005,0,11,8,11
1006,0,8,10,12
1007,0,10,10,10
1008,0,12,9,9
1009,0,11,9,10
1010,0,10,7,13
1011,0,8,11,11
1012,0,10,9,11
1013,0,10,8,12
1014,0,11,11,8
1015,0,10,9,11
1016,0,10,8,12
1017,0,10,8,12
1018,0,9,9,12
1019,0,12,8,10
1020,0,10,9,11
1021,0,9,10,11
1022,0,13,6,11
1023,0,12,9,9
1024,0,10,11,9
1025,0,12,7,11
1026,0,11,8,11
1027,0,8,10,12
1028,0,12,9,9
1029,0,8,8,14
1030,0,12,9,9
1031,0,10,8,12
1032,0,8,9,13
1033,0,9,12,9
1034,0,10,8,12
1035,0,8,8,14
1036,0,11,9,10
1037,0,9,9,12
1038,0,9,10,11
1039,0,9,9,12
1040,0,9,8,13
1041,0,11,11,8
1042,0,9,9,12
1043,0,10,10,10
1044,0,9,10,11
1045,0,9,9,12
1046,0,11,8,11
1047,0,12,5,13
1048,0,12,10,8
1049,0,12,9,9
1050,1,11,7,11
1051,0,10,8,12
1052,0,10,12,8
1053,0,11,9,10
1054,0,10,7,13
1055,0,9,9,12
1056,0,9,13,8
1057,0,12,7,11
1058,1,10,8,11
1059,0,10,11,9
1060,1,8,11,10
1061,1,10,10,9
1062,0,9,10,11
1063,0,10,10,10
1064,0,7,13,10
1065,0,10,9,11
1066,0,10,8,12
1067,0,12,9,9
1068,0,10,9,11
1069,0,10,9,11
1070,0,11,8,11
1071,1,9,10,10
1072,0,11,8,11
1073,0,10,6,14
1074,0,11,9,10
1075,0,11,9,10
1076,0,9,12,9
1077,0,10,9,11
1078,1,10,8,11
1079,0,9,11,10
1080,0,12,6,12
1081,0,12,8,10
1082,0,10,9,11
1083,0,10,9,11
1084,1,9,9,11
1085,0,10,10,10
1086,0,12,10,8
1087,0,9,7,14
1088,0,9,11,10
1089,0,11,8,11
1090,0,11,9,10
1091,0,11,9,10
1092,0,10,10,10
1093,1,10,9,10
1094,0,8,10,12
1095,0,12,8,10
1096,0,11,7,12
1097,0,12,10,8
1098,0,9,11,10
1099,0,11,9,10
1100,0,8,11,11
1101,0,10,8,12
1102,0,11,10,9
1103,0,11,9,10
1104,0,11,8,11
1105,0,9,10,11
1106,0,11,8,11
1107,0,10,8,12
1108,0,10,9,11
1109,0,12,9,9
1110,0,11,7,12
1111,0,9,8,13
1112,0,12,7,11
1113,0,10,9,11
1114,0,9,11,10
1115,0,8,9,13
1116,0,10,8,12
1117,0,10,9,11
1118,0,11,9,10
1119,0,10,10,10
1120,0,9,9,12
1121,0,10,7,13
1122,0,9,8,13
1123,1,11,8,10
1124,0,12,7,11
1125,0,11,9,10
1126,0,9,11,10
1127,0,12,8,10
1128,0,10,7,13
1129,0,8,8,14
1130,0,12,7,11
1131,0,11,8,11
1132,1,10,8,11
1133,0,11,12,7
1134,0,10,10,10
1135,0,10,8,12
1136,1,10,10,9
1137,0,8,12,10
1138,0,11,6,13
