,Asian,Black,Hispanic,White
826,0,17,19,14
827,0,19,15,16
828,0,16,17,17
829,0,18,15,17
830,0,18,10,22
831,1,16,16,17
832,0,16,17,17
833,0,15,17,18
834,0,13,18,19
835,1,14,19,16
836,0,16,16,18
837,0,17,16,17
838,0,18,15,17
839,0,16,17,17
840,1,15,17,17
841,0,15,16,19
842,1,17,15,17
843,0,20,13,17
844,0,18,13,19
845,1,17,16,16
846,0,17,14,19
847,0,17,13,20
848,0,16,20,14
849,0,16,17,17
850,0,14,19,17
851,0,17,14,19
852,0,18,16,16
853,0,18,15,17
854,0,15,19,16
855,0,17,18,15
856,0,16,16,18
857,0,17,18,15
858,0,16,15,19
859,0,12,17,21
860,1,12,16,21
861,0,18,17,15
862,1,15,15,19
863,0,19,14,17
864,0,15,19,16
865,0,18,14,18
866,0,15,15,20
867,0,20,13,17
868,2,17,12,19
869,0,15,15,20
870,0,17,18,15
871,1,16,16,17
872,0,17,11,22
873,0,22,14,14
874,1,18,14,17
875,0,19,16,15
876,1,20,11,18
877,1,14,16,19
878,0,16,18,16
879,0,18,13,19
880,0,16,16,18
881,0,18,17,15
882,0,15,14,21
883,0,17,16,17
884,0,16,15,19
885,0,16,16,18
886,0,16,16,18
887,0,16,16,18
888,1,17,15,17
889,1,17,18,14
890,1,17,17,15
891,0,19,16,15
892,0,18,14,18
893,0,20,16,14
894,0,18,17,15
895,0,18,17,15
896,1,19,15,15
897,0,16,14,20
898,0,14,15,21
899,0,15,19,16
900,0,15,16,19
901,0,18,16,16
902,0,19,14,17
903,0,19,16,15
904,0,15,16,19
905,0,16,19,15
906,0,15,17,18
907,0,19,14,17
908,0,18,18,14
909,0,14,21,15
910,0,17,19,14
911,0,19,14,17
912,0,16,18,16
913,0,17,19,14
914,0,19,20,11
915,0,20,15,15
916,0,20,14,16
917,0,17,13,20
918,0,14,16,20
919,0,17,14,19
920,0,18,19,13
921,1,13,13,23
922,1,17,15,17
923,0,19,18,13
924,0,18,16,16
925,0,18,16,16
926,0,16,17,17
927,0,16,19,15
928,0,15,15,20
929,0,17,17,16
930,1,18,15,16
931,0,18,16,16
932,0,20,13,17
933,0,16,14,20
934,0,16,19,15
935,0,16,18,16
936,0,16,15,19
937,0,19,14,17
938,0,18,16,16
939,0,16,16,18
940,0,18,13,19
941,0,16,16,18
942,0,17,17,16
943,0,18,17,15
944,0,13,21,16
945,0,16,14,20
946,0,17,15,18
947,0,19,16,15
948,0,16,17,17
949,0,16,15,19
950,0,19,16,15
951,0,15,18,17
952,0,17,16,17
953,0,18,14,18
954,0,20,12,18
955,0,15,18,17
956,0,12,17,21
957,0,19,15,16
958,0,18,14,18
959,0,16,17,17
960,0,15,17,18
961,1,16,18,15
962,1,20,15,14
963,1,18,15,16
964,1,19,14,16
965,0,19,15,16
966,0,17,16,17
967,0,18,15,17
968,0,16,16,18
969,0,18,20,12
970,0,17,17,16
971,0,15,18,17
972,1,15,17,17
973,1,15,19,15
974,0,19,15,16
975,0,20,14,16
976,0,13,12,25
977,0,16,12,22
978,0,13,15,22
979,1,19,14,16
980,0,21,13,16
981,0,19,16,15
982,0,20,15,15
983,0,15,13,22
984,0,17,12,21
985,0,19,15,16
986,0,16,16,18
987,0,16,17,17
988,0,16,16,18
989,0,15,17,18
990,0,15,17,18
991,0,19,15,16
992,1,16,18,15
993,1,16,14,19
994,0,18,15,17
995,0,14,15,21
996,0,14,16,20
997,0,18,13,19
998,1,15,15,19
999,0,16,15,19
1000,0,17,13,20
1001,1,15,17,17
1002,0,17,13,20
1003,0,19,15,16
1004,1,15,17,17
1005,0,18,16,16
1006,0,13,19,18
1007,0,17,14,19
1008,0,17,14,19
1009,0,18,15,17
1010,0,14,16,20
1011,0,18,14,18
1012,0,15,18,17
1013,0,15,14,21
1014,0,16,13,21
1015,0,18,14,18
1016,0,17,17,16
1017,1,15,16,18
1018,0,14,17,19
1019,0,16,16,18
1020,1,18,14,17
1021,0,16,15,19
1022,1,16,20,13
1023,0,17,17,16
1024,1,16,16,17
1025,0,15,16,19
1026,0,16,19,15
1027,1,17,16,16
1028,0,18,14,18
1029,0,18,17,15
1030,0,15,19,16
1031,0,16,16,18
1032,0,19,18,13
1033,0,19,15,16
1034,0,17,13,20
1035,0,17,16,17
1036,0,17,17,16
1037,0,18,16,16
1038,0,18,15,17
1039,0,14,19,17
1040,0,17,16,17
1041,1,16,15,18
1042,0,15,17,18
1043,0,18,16,16
1044,0,18,13,19
1045,0,19,16,15
1046,0,19,15,16
1047,0,17,12,21
1048,1,19,12,18
1049,0,18,16,16
1050,1,16,14,19
1051,0,17,18,15
1052,0,17,20,13
1053,0,16,20,14
1054,0,18,15,17
1055,0,17,18,15
1056,0,17,14,19
1057,0,14,17,19
1058,2,16,19,13
1059,1,16,16,17
1060,1,21,12,16
1061,0,17,17,16
1062,0,15,17,18
1063,0,17,16,17
1064,1,13,17,19
1065,0,16,15,19
1066,0,17,17,16
1067,0,19,17,14
1068,0,17,14,19
1069,0,18,13,19
1070,0,19,13,18
1071,0,15,13,22
1072,0,16,14,20
1073,0,16,14,20
1074,0,16,16,18
1075,0,18,17,15
1076,0,17,18,15
1077,2,14,15,19
1078,0,13,19,18
1079,0,20,13,17
1080,0,19,15,16
1081,0,15,20,15
1082,0,17,20,13
1083,0,17,16,17
1084,0,14,18,18
1085,1,18,15,16
1086,0,19,14,17
1087,1,18,15,16
1088,0,15,19,16
1089,0,13,19,18
1090,0,19,15,16
1091,0,16,15,19
1092,0,19,14,17
1093,1,16,20,13
1094,0,16,21,13
1095,0,18,17,15
1096,0,17,16,17
1097,0,16,16,18
1098,1,18,14,17
1099,0,17,15,18
1100,0,19,15,16
1101,0,16,16,18
1102,0,14,16,20
1103,0,17,14,19
1104,1,17,18,14
1105,0,20,15,15
1106,0,15,14,21
1107,0,16,19,15
1108,1,16,16,17
1109,0,17,15,18
1110,0,14,14,22
1111,0,17,15,18
1112,0,16,15,19
1113,1,16,15,18
1114,0,19,14,17
1115,0,13,18,19
1116,0,19,13,18
1117,0,17,17,16
1118,0,14,18,18
1119,0,19,13,18
1120,0,17,17,16
1121,0,20,12,18
1122,0,18,17,15
1123,0,15,16,19
1124,0,15,15,20
1125,0,18,15,17
1126,0,19,14,17
1127,1,13,18,18
1128,0,16,17,17
1129,0,17,20,13
1130,1,19,12,18
1131,0,19,15,16
1132,0,15,15,20
1133,1,16,18,15
1134,0,20,16,14
1135,0,13,19,18
1136,0,19,14,17
1137,0,21,13,16
1138,0,20,17,13
1139,0,13,19,18
1140,1,16,17,16
1141,1,15,17,17
1142,1,15,15,19
1143,1,15,19,15
1144,0,15,18,17
1145,1,19,15,15
1146,1,16,18,15
1147,1,15,19,15
1148,0,17,18,15
1149,0,17,16,17
1150,0,22,12,16
1151,0,19,16,15
1152,0,19,13,18
1153,1,15,14,20
1154,0,14,15,21
1155,0,19,14,17
1156,0,17,16,17
1157,0,20,15,15
1158,1,15,15,19
1159,0,21,16,13
1160,0,18,11,21
1161,1,15,19,15
1162,0,18,12,20
1163,0,18,18,14
1164,0,18,16,16
1165,0,18,15,17
1166,1,15,16,18
1167,0,16,13,21
1168,0,16,13,21
1169,0,17,11,22
1170,0,16,17,17
1171,0,18,17,15
1172,0,15,16,19
1173,0,18,15,17
1174,2,20,12,16
1175,0,18,16,16
1176,0,19,15,16
1177,1,19,12,18
1178,1,17,16,16
1179,1,13,16,20
1180,1,13,16,20
1181,0,14,23,13
1182,0,18,16,16
1183,0,16,17,17
1184,2,17,14,17
1185,0,20,16,14
1186,0,13,17,20
1187,0,17,16,17
1188,0,18,15,17
1189,0,16,15,19
1190,0,17,16,17
1191,0,15,18,17
1192,0,19,13,18
1193,1,18,14,17
1194,1,21,12,16
1195,0,17,14,19
1196,0,18,17,15
1197,0,13,16,21
1198,1,16,17,16
1199,0,18,13,19
1200,0,14,17,19
1201,0,17,18,15
1202,2,17,16,15
1203,0,21,12,17
1204,0,15,15,20
1205,0,19,13,18
1206,0,15,14,21
1207,0,18,12,20
1208,0,17,14,19
1209,0,16,15,19
1210,0,14,16,20
1211,0,17,17,16
1212,1,15,17,17
1213,0,14,15,21
1214,1,19,13,17
1215,2,18,13,17
1216,0,16,18,16
1217,0,17,16,17
1218,0,19,13,18
1219,0,17,15,18
1220,1,14,18,17
1221,1,18,16,15
1222,0,18,15,17
1223,0,18,13,19
1224,0,18,16,16
1225,0,19,14,17
1226,0,21,12,17
1227,1,15,17,17
1228,1,14,18,17
1229,0,19,16,15
1230,0,18,15,17
1231,0,14,14,22
1232,0,16,17,17
1233,0,16,16,18
1234,1,19,13,17
1235,0,16,16,18
1236,0,18,13,19
1237,1,16,17,16
1238,0,17,18,15
1239,0,15,15,20
1240,1,17,16,16
1241,0,17,14,19
1242,0,16,15,19
1243,1,17,14,18
1244,0,18,16,16
1245,0,18,15,17
1246,0,16,18,16
1247,0,17,19,14
1248,0,17,13,20
1249,0,17,15,18
1250,0,16,16,18
1251,1,16,12,21
1252,0,15,14,21
1253,0,15,18,17
1254,0,15,17,18
1255,0,16,13,21
1256,0,16,16,18
1257,0,18,20,12
1258,1,18,16,15
1259,0,15,16,19
1260,0,14,15,21
1261,0,19,16,15
1262,0,18,16,16
1263,0,17,15,18
1264,0,14,16,20
1265,0,18,12,20
1266,0,17,16,17
1267,0,17,13,20
1268,0,18,15,17
1269,1,15,15,19
1270,0,19,15,16
1271,0,21,15,14
1272,0,14,18,18
1273,0,14,18,18
1274,0,15,16,19
1275,1,17,17,15
1276,0,17,16,17
1277,0,18,17,15
1278,0,18,14,18
1279,0,15,18,17
1280,0,17,14,19
1281,0,19,15,16
1282,0,20,17,13
1283,0,16,14,20
1284,1,19,16,14
1285,1,18,10,21
1286,0,17,16,17
1287,0,17,17,16
1288,0,15,15,20
1289,0,16,20,14
1290,0,17,15,18
1291,0,15,14,21
1292,0,21,14,15
1293,0,20,20,10
1294,1,16,14,19
1295,0,19,17,14
1296,0,15,17,18
1297,0,18,17,15
1298,1,17,15,17
1299,0,14,18,18
1300,0,17,16,17
1301,1,18,11,20
1302,0,19,15,16
1303,0,17,18,15
1304,0,18,15,17
1305,0,19,13,18
1306,1,18,13,18
1307,0,17,18,15
1308,1,16,18,15
1309,0,15,16,19
1310,1,19,15,15
1311,0,16,17,17
1312,1,15,15,19
1313,1,16,14,19
1314,0,17,19,14
1315,0,13,15,22
1316,0,16,15,19
1317,1,18,15,16
1318,0,18,16,16
1319,0,17,14,19
1320,0,18,17,15
1321,0,19,18,13
1322,0,12,17,21
1323,0,18,15,17
1324,0,17,14,19
1325,1,17,16,16
1326,0,16,13,21
1327,0,15,16,19
1328,0,17,15,18
1329,1,14,16,19
1330,0,19,15,16
1331,0,18,17,15
1332,0,14,16,20
1333,0,15,16,19
1334,0,14,17,19
1335,0,16,15,19
1336,1,17,12,20
1337,1,17,17,15
1338,0,15,16,19
1339,0,14,17,19
1340,0,20,15,15
1341,0,19,14,17
1342,0,16,14,20
1343,0,15,17,18
1344,0,15,16,19
1345,0,15,16,19
1346,0,16,17,17
1347,1,15,16,18
1348,0,20,16,14
1349,1,17,13,19
1350,0,18,14,18
1351,0,18,17,15
1352,0,17,15,18
1353,1,17,16,16
1354,1,14,18,17
1355,0,19,13,18
